Date,Open,High,Low,Close,Volume,Currency
2021-12-24,548.7,554.12,537.96,541.78,728050,USD
2021-12-25,541.78,550.4,539.67,547.33,500447,USD
2021-12-26,547.33,549.2,536.39,546.49,579216,USD
2021-12-27,546.49,571.6,543.29,563.3,844134,USD
2021-12-28,563.59,563.6,529.27,534.19,1048867,USD
2021-12-29,534.21,540.4,511.2,514.22,776594,USD
2021-12-30,514.5,527.6,508.81,518.5,676806,USD
2021-12-31,518.5,528.1,507.11,511.7,726066,USD
2022-01-01,511.7,527.51,511.6,527.4,478601,USD
2022-01-02,527.41,533.59,518.4,531.28,435888,USD
2022-01-03,531.0,532.6,510.21,511.7,700849,USD
2022-01-04,511.7,519.7,502.4,507.0,724317,USD
2022-01-05,506.99,515.81,459.04,473.61,1029731,USD
2022-01-06,473.61,481.3,459.41,472.89,1021672,USD
2022-01-07,472.89,473.7,438.2,447.71,1380045,USD
2022-01-08,447.9,459.3,417.13,429.32,1121372,USD
2022-01-09,429.32,438.01,427.31,435.38,1226582,USD
